-------- MisiSeqMS Start -------
File:C:\Users\patch\OneDrive\Documents\VisualStudio2022\Projects\MidiSeqMS\MusicStudioSongFiles\MusicStudio\PRELUDE.SNG has 2714 Bytes
==== PROCESS->Added 2 Objects
    Note:67 EVENT:338 Tick:16 State:2  *Ticks:4907
    Note:52 EVENT:338 Tick:16 State:2  *Ticks:4907
---- PLAY QUEUE: Total Objects:2
    Note:67 EVENT:338 Tick:15 State:2  *Ticks:4908
    Note:52 EVENT:338 Tick:15 State:2  *Ticks:4908
---- PLAY QUEUE: Total Objects:2
    Note:67 EVENT:338 Tick:14 State:2  *Ticks:4909
    Note:52 EVENT:338 Tick:14 State:2  *Ticks:4909
---- PLAY QUEUE: Total Objects:2
    Note:67 EVENT:338 Tick:13 State:2  *Ticks:4910
    Note:52 EVENT:338 Tick:13 State:2  *Ticks:4910
---- PLAY QUEUE: Total Objects:2
    Note:67 EVENT:338 Tick:12 State:2  *Ticks:4911
    Note:52 EVENT:338 Tick:12 State:2  *Ticks:4911
---- PLAY QUEUE: Total Objects:2
    Note:67 EVENT:338 Tick:11 State:2  *Ticks:4912
    Note:52 EVENT:338 Tick:11 State:2  *Ticks:4912
---- PLAY QUEUE: Total Objects:2
    Note:67 EVENT:338 Tick:10 State:2  *Ticks:4913
    Note:52 EVENT:338 Tick:10 State:2  *Ticks:4913
---- PLAY QUEUE: Total Objects:2
    Note:67 EVENT:338 Tick:9 State:2  *Ticks:4914
    Note:52 EVENT:338 Tick:9 State:2  *Ticks:4914
---- PLAY QUEUE: Total Objects:2
    Note:67 EVENT:338 Tick:8 State:2  *Ticks:4915
    Note:52 EVENT:338 Tick:8 State:2  *Ticks:4915
---- PLAY QUEUE: Total Objects:2
    Note:67 EVENT:338 Tick:7 State:2  *Ticks:4916
    Note:52 EVENT:338 Tick:7 State:2  *Ticks:4916
---- PLAY QUEUE: Total Objects:2
    Note:67 EVENT:338 Tick:6 State:2  *Ticks:4917
    Note:52 EVENT:338 Tick:6 State:2  *Ticks:4917
---- PLAY QUEUE: Total Objects:2
    Note:67 EVENT:338 Tick:5 State:2  *Ticks:4918
    Note:52 EVENT:338 Tick:5 State:2  *Ticks:4918
---- PLAY QUEUE: Total Objects:2
    Note:67 EVENT:338 Tick:4 State:2  *Ticks:4919
    Note:52 EVENT:338 Tick:4 State:2  *Ticks:4919
---- PLAY QUEUE: Total Objects:2
    Note:67 EVENT:338 Tick:3 State:2  *Ticks:4920
    Note:52 EVENT:338 Tick:3 State:2  *Ticks:4920
---- PLAY QUEUE: Total Objects:2
    Note:67 EVENT:338 Tick:2 State:3  *Ticks:4921
    Note:52 EVENT:338 Tick:2 State:3  *Ticks:4921
---- PLAY QUEUE: Total Objects:2
    Note:67 EVENT:338 Tick:1 State:3  *Ticks:4922
    Note:52 EVENT:338 Tick:1 State:3  *Ticks:4922
---- PLAY QUEUE: Total Objects:2
    Note:67 EVENT:338 Tick:0 State:4  *Ticks:4923
   ---- Note Timed Out: Pitch:67 Ticks:0
    Note:52 EVENT:338 Tick:0 State:4  *Ticks:4923
   ---- Note Timed Out: Pitch:52 Ticks:0
==== PROCESS->Added 2 Objects
---- PLAY QUEUE: Total Objects:2
    Note:71 EVENT:339 Tick:11 State:2  *Ticks:4924
    Note:55 EVENT:339 Tick:11 State:2  *Ticks:4924
---- PLAY QUEUE: Total Objects:2
    Note:71 EVENT:339 Tick:10 State:2  *Ticks:4925
    Note:55 EVENT:339 Tick:10 State:2  *Ticks:4925
---- PLAY QUEUE: Total Objects:2
    Note:71 EVENT:339 Tick:9 State:2  *Ticks:4926
    Note:55 EVENT:339 Tick:9 State:2  *Ticks:4926
---- PLAY QUEUE: Total Objects:2
    Note:71 EVENT:339 Tick:8 State:2  *Ticks:4927
    Note:55 EVENT:339 Tick:8 State:2  *Ticks:4927
---- PLAY QUEUE: Total Objects:2
    Note:71 EVENT:339 Tick:7 State:2  *Ticks:4928
    Note:55 EVENT:339 Tick:7 State:2  *Ticks:4928
---- PLAY QUEUE: Total Objects:2
    Note:71 EVENT:339 Tick:6 State:2  *Ticks:4929
    Note:55 EVENT:339 Tick:6 State:2  *Ticks:4929
---- PLAY QUEUE: Total Objects:2
    Note:71 EVENT:339 Tick:5 State:2  *Ticks:4930
    Note:55 EVENT:339 Tick:5 State:2  *Ticks:4930
---- PLAY QUEUE: Total Objects:2
    Note:71 EVENT:339 Tick:4 State:2  *Ticks:4931
    Note:55 EVENT:339 Tick:4 State:2  *Ticks:4931
---- PLAY QUEUE: Total Objects:2
    Note:71 EVENT:339 Tick:3 State:2  *Ticks:4932
    Note:55 EVENT:339 Tick:3 State:2  *Ticks:4932
---- PLAY QUEUE: Total Objects:2
    Note:71 EVENT:339 Tick:2 State:3  *Ticks:4933
    Note:55 EVENT:339 Tick:2 State:3  *Ticks:4933
---- PLAY QUEUE: Total Objects:2
    Note:71 EVENT:339 Tick:1 State:3  *Ticks:4934
    Note:55 EVENT:339 Tick:1 State:3  *Ticks:4934
---- PLAY QUEUE: Total Objects:2
    Note:71 EVENT:339 Tick:0 State:4  *Ticks:4935
   ---- Note Timed Out: Pitch:71 Ticks:0
    Note:55 EVENT:339 Tick:0 State:4  *Ticks:4935
   ---- Note Timed Out: Pitch:55 Ticks:0
==== PROCESS->Added 2 Objects
---- PLAY QUEUE: Total Objects:2
    Note:67 EVENT:340 Tick:11 State:2  *Ticks:4936
    Note:52 EVENT:340 Tick:11 State:2  *Ticks:4936
---- PLAY QUEUE: Total Objects:2
    Note:67 EVENT:340 Tick:10 State:2  *Ticks:4937
    Note:52 EVENT:340 Tick:10 State:2  *Ticks:4937
---- PLAY QUEUE: Total Objects:2
    Note:67 EVENT:340 Tick:9 State:2  *Ticks:4938
    Note:52 EVENT:340 Tick:9 State:2  *Ticks:4938
---- PLAY QUEUE: Total Objects:2
    Note:67 EVENT:340 Tick:8 State:2  *Ticks:4939
    Note:52 EVENT:340 Tick:8 State:2  *Ticks:4939
---- PLAY QUEUE: Total Objects:2
    Note:67 EVENT:340 Tick:7 State:2  *Ticks:4940
    Note:52 EVENT:340 Tick:7 State:2  *Ticks:4940
---- PLAY QUEUE: Total Objects:2
    Note:67 EVENT:340 Tick:6 State:2  *Ticks:4941
    Note:52 EVENT:340 Tick:6 State:2  *Ticks:4941
---- PLAY QUEUE: Total Objects:2
    Note:67 EVENT:340 Tick:5 State:2  *Ticks:4942
    Note:52 EVENT:340 Tick:5 State:2  *Ticks:4942
---- PLAY QUEUE: Total Objects:2
    Note:67 EVENT:340 Tick:4 State:2  *Ticks:4943
    Note:52 EVENT:340 Tick:4 State:2  *Ticks:4943
---- PLAY QUEUE: Total Objects:2
    Note:67 EVENT:340 Tick:3 State:2  *Ticks:4944
    Note:52 EVENT:340 Tick:3 State:2  *Ticks:4944
---- PLAY QUEUE: Total Objects:2
    Note:67 EVENT:340 Tick:2 State:3  *Ticks:4945
    Note:52 EVENT:340 Tick:2 State:3  *Ticks:4945
---- PLAY QUEUE: Total Objects:2
    Note:67 EVENT:340 Tick:1 State:3  *Ticks:4946
    Note:52 EVENT:340 Tick:1 State:3  *Ticks:4946
---- PLAY QUEUE: Total Objects:2
    Note:67 EVENT:340 Tick:0 State:4  *Ticks:4947
   ---- Note Timed Out: Pitch:67 Ticks:0
    Note:52 EVENT:340 Tick:0 State:4  *Ticks:4947
   ---- Note Timed Out: Pitch:52 Ticks:0
==== PROCESS->Added 2 Objects
---- PLAY QUEUE: Total Objects:2
    Note:72 EVENT:341 Tick:23 State:2  *Ticks:4948
    Note:57 EVENT:341 Tick:23 State:2  *Ticks:4948
---- PLAY QUEUE: Total Objects:2
    Note:72 EVENT:341 Tick:22 State:2  *Ticks:4949
    Note:57 EVENT:341 Tick:22 State:2  *Ticks:4949
---- PLAY QUEUE: Total Objects:2
    Note:72 EVENT:341 Tick:21 State:2  *Ticks:4950
    Note:57 EVENT:341 Tick:21 State:2  *Ticks:4950
---- PLAY QUEUE: Total Objects:2
    Note:72 EVENT:341 Tick:20 State:2  *Ticks:4951
    Note:57 EVENT:341 Tick:20 State:2  *Ticks:4951
---- PLAY QUEUE: Total Objects:2
    Note:72 EVENT:341 Tick:19 State:2  *Ticks:4952
    Note:57 EVENT:341 Tick:19 State:2  *Ticks:4952
---- PLAY QUEUE: Total Objects:2
    Note:72 EVENT:341 Tick:18 State:2  *Ticks:4953
    Note:57 EVENT:341 Tick:18 State:2  *Ticks:4953
---- PLAY QUEUE: Total Objects:2
    Note:72 EVENT:341 Tick:17 State:2  *Ticks:4954
    Note:57 EVENT:341 Tick:17 State:2  *Ticks:4954
---- PLAY QUEUE: Total Objects:2
    Note:72 EVENT:341 Tick:16 State:2  *Ticks:4955
    Note:57 EVENT:341 Tick:16 State:2  *Ticks:4955
---- PLAY QUEUE: Total Objects:2
    Note:72 EVENT:341 Tick:15 State:2  *Ticks:4956
    Note:57 EVENT:341 Tick:15 State:2  *Ticks:4956
---- PLAY QUEUE: Total Objects:2
    Note:72 EVENT:341 Tick:14 State:2  *Ticks:4957
    Note:57 EVENT:341 Tick:14 State:2  *Ticks:4957
---- PLAY QUEUE: Total Objects:2
    Note:72 EVENT:341 Tick:13 State:2  *Ticks:4958
    Note:57 EVENT:341 Tick:13 State:2  *Ticks:4958
---- PLAY QUEUE: Total Objects:2
    Note:72 EVENT:341 Tick:12 State:2  *Ticks:4959
    Note:57 EVENT:341 Tick:12 State:2  *Ticks:4959
---- PLAY QUEUE: Total Objects:2
    Note:72 EVENT:341 Tick:11 State:2  *Ticks:4960
    Note:57 EVENT:341 Tick:11 State:2  *Ticks:4960
---- PLAY QUEUE: Total Objects:2
    Note:72 EVENT:341 Tick:10 State:2  *Ticks:4961
    Note:57 EVENT:341 Tick:10 State:2  *Ticks:4961
---- PLAY QUEUE: Total Objects:2
    Note:72 EVENT:341 Tick:9 State:2  *Ticks:4962
    Note:57 EVENT:341 Tick:9 State:2  *Ticks:4962
---- PLAY QUEUE: Total Objects:2
    Note:72 EVENT:341 Tick:8 State:2  *Ticks:4963
    Note:57 EVENT:341 Tick:8 State:2  *Ticks:4963
---- PLAY QUEUE: Total Objects:2
    Note:72 EVENT:341 Tick:7 State:2  *Ticks:4964
    Note:57 EVENT:341 Tick:7 State:2  *Ticks:4964
---- PLAY QUEUE: Total Objects:2
    Note:72 EVENT:341 Tick:6 State:2  *Ticks:4965
    Note:57 EVENT:341 Tick:6 State:2  *Ticks:4965
---- PLAY QUEUE: Total Objects:2
    Note:72 EVENT:341 Tick:5 State:2  *Ticks:4966
    Note:57 EVENT:341 Tick:5 State:2  *Ticks:4966
---- PLAY QUEUE: Total Objects:2
    Note:72 EVENT:341 Tick:4 State:2  *Ticks:4967
    Note:57 EVENT:341 Tick:4 State:2  *Ticks:4967
---- PLAY QUEUE: Total Objects:2
    Note:72 EVENT:341 Tick:3 State:2  *Ticks:4968
    Note:57 EVENT:341 Tick:3 State:2  *Ticks:4968
---- PLAY QUEUE: Total Objects:2
    Note:72 EVENT:341 Tick:2 State:3  *Ticks:4969
    Note:57 EVENT:341 Tick:2 State:3  *Ticks:4969
---- PLAY QUEUE: Total Objects:2
    Note:72 EVENT:341 Tick:1 State:3  *Ticks:4970
    Note:57 EVENT:341 Tick:1 State:3  *Ticks:4970
---- PLAY QUEUE: Total Objects:2
    Note:72 EVENT:341 Tick:0 State:4  *Ticks:4971
   ---- Note Timed Out: Pitch:72 Ticks:0
    Note:57 EVENT:341 Tick:0 State:4  *Ticks:4971
   ---- Note Timed Out: Pitch:57 Ticks:0
==== PROCESS->Added 2 Objects
---- PLAY QUEUE: Total Objects:2
    Note:74 EVENT:342 Tick:11 State:2  *Ticks:4972
    Note:59 EVENT:342 Tick:11 State:2  *Ticks:4972
---- PLAY QUEUE: Total Objects:2
    Note:74 EVENT:342 Tick:10 State:2  *Ticks:4973
    Note:59 EVENT:342 Tick:10 State:2  *Ticks:4973
---- PLAY QUEUE: Total Objects:2
    Note:74 EVENT:342 Tick:9 State:2  *Ticks:4974
    Note:59 EVENT:342 Tick:9 State:2  *Ticks:4974
---- PLAY QUEUE: Total Objects:2
    Note:74 EVENT:342 Tick:8 State:2  *Ticks:4975
    Note:59 EVENT:342 Tick:8 State:2  *Ticks:4975
---- PLAY QUEUE: Total Objects:2
    Note:74 EVENT:342 Tick:7 State:2  *Ticks:4976
    Note:59 EVENT:342 Tick:7 State:2  *Ticks:4976
---- PLAY QUEUE: Total Objects:2
    Note:74 EVENT:342 Tick:6 State:2  *Ticks:4977
    Note:59 EVENT:342 Tick:6 State:2  *Ticks:4977
---- PLAY QUEUE: Total Objects:2
    Note:74 EVENT:342 Tick:5 State:2  *Ticks:4978
    Note:59 EVENT:342 Tick:5 State:2  *Ticks:4978
---- PLAY QUEUE: Total Objects:2
    Note:74 EVENT:342 Tick:4 State:2  *Ticks:4979
    Note:59 EVENT:342 Tick:4 State:2  *Ticks:4979
---- PLAY QUEUE: Total Objects:2
    Note:74 EVENT:342 Tick:3 State:2  *Ticks:4980
    Note:59 EVENT:342 Tick:3 State:2  *Ticks:4980
---- PLAY QUEUE: Total Objects:2
    Note:74 EVENT:342 Tick:2 State:3  *Ticks:4981
    Note:59 EVENT:342 Tick:2 State:3  *Ticks:4981
---- PLAY QUEUE: Total Objects:2
    Note:74 EVENT:342 Tick:1 State:3  *Ticks:4982
    Note:59 EVENT:342 Tick:1 State:3  *Ticks:4982
---- PLAY QUEUE: Total Objects:2
    Note:74 EVENT:342 Tick:0 State:4  *Ticks:4983
   ---- Note Timed Out: Pitch:74 Ticks:0
    Note:59 EVENT:342 Tick:0 State:4  *Ticks:4983
   ---- Note Timed Out: Pitch:59 Ticks:0
==== PROCESS->Added 2 Objects
---- PLAY QUEUE: Total Objects:2
    Note:71 EVENT:343 Tick:11 State:2  *Ticks:4984
    Note:55 EVENT:343 Tick:11 State:2  *Ticks:4984
---- PLAY QUEUE: Total Objects:2
    Note:71 EVENT:343 Tick:10 State:2  *Ticks:4985
    Note:55 EVENT:343 Tick:10 State:2  *Ticks:4985
---- PLAY QUEUE: Total Objects:2
    Note:71 EVENT:343 Tick:9 State:2  *Ticks:4986
    Note:55 EVENT:343 Tick:9 State:2  *Ticks:4986
---- PLAY QUEUE: Total Objects:2
    Note:71 EVENT:343 Tick:8 State:2  *Ticks:4987
    Note:55 EVENT:343 Tick:8 State:2  *Ticks:4987
---- PLAY QUEUE: Total Objects:2
    Note:71 EVENT:343 Tick:7 State:2  *Ticks:4988
    Note:55 EVENT:343 Tick:7 State:2  *Ticks:4988
---- PLAY QUEUE: Total Objects:2
    Note:71 EVENT:343 Tick:6 State:2  *Ticks:4989
    Note:55 EVENT:343 Tick:6 State:2  *Ticks:4989
---- PLAY QUEUE: Total Objects:2
    Note:71 EVENT:343 Tick:5 State:2  *Ticks:4990
    Note:55 EVENT:343 Tick:5 State:2  *Ticks:4990
---- PLAY QUEUE: Total Objects:2
    Note:71 EVENT:343 Tick:4 State:2  *Ticks:4991
    Note:55 EVENT:343 Tick:4 State:2  *Ticks:4991
---- PLAY QUEUE: Total Objects:2
    Note:71 EVENT:343 Tick:3 State:2  *Ticks:4992
    Note:55 EVENT:343 Tick:3 State:2  *Ticks:4992
---- PLAY QUEUE: Total Objects:2
    Note:71 EVENT:343 Tick:2 State:3  *Ticks:4993
    Note:55 EVENT:343 Tick:2 State:3  *Ticks:4993
---- PLAY QUEUE: Total Objects:2
    Note:71 EVENT:343 Tick:1 State:3  *Ticks:4994
    Note:55 EVENT:343 Tick:1 State:3  *Ticks:4994
---- PLAY QUEUE: Total Objects:2
    Note:71 EVENT:343 Tick:0 State:4  *Ticks:4995
   ---- Note Timed Out: Pitch:71 Ticks:0
    Note:55 EVENT:343 Tick:0 State:4  *Ticks:4995
   ---- Note Timed Out: Pitch:55 Ticks:0
==== PROCESS->Added 3 Objects
---- PLAY QUEUE: Total Objects:3
    Note:50 EVENT:344 Tick:23 State:2  *Ticks:4996
    Note:76 EVENT:344 Tick:35 State:2  *Ticks:4996
    Note:60 EVENT:344 Tick:47 State:2  *Ticks:4996
---- PLAY QUEUE: Total Objects:3
    Note:50 EVENT:344 Tick:22 State:2  *Ticks:4997
    Note:76 EVENT:344 Tick:34 State:2  *Ticks:4997
    Note:60 EVENT:344 Tick:46 State:2  *Ticks:4997
---- PLAY QUEUE: Total Objects:3
    Note:50 EVENT:344 Tick:21 State:2  *Ticks:4998
    Note:76 EVENT:344 Tick:33 State:2  *Ticks:4998
    Note:60 EVENT:344 Tick:45 State:2  *Ticks:4998
---- PLAY QUEUE: Total Objects:3
    Note:50 EVENT:344 Tick:20 State:2  *Ticks:4999
    Note:76 EVENT:344 Tick:32 State:2  *Ticks:4999
    Note:60 EVENT:344 Tick:44 State:2  *Ticks:4999
---- PLAY QUEUE: Total Objects:3
    Note:50 EVENT:344 Tick:19 State:2  *Ticks:5000
    Note:76 EVENT:344 Tick:31 State:2  *Ticks:5000
    Note:60 EVENT:344 Tick:43 State:2  *Ticks:5000
---- PLAY QUEUE: Total Objects:3
    Note:50 EVENT:344 Tick:18 State:2  *Ticks:5001
    Note:76 EVENT:344 Tick:30 State:2  *Ticks:5001
    Note:60 EVENT:344 Tick:42 State:2  *Ticks:5001
---- PLAY QUEUE: Total Objects:3
    Note:50 EVENT:344 Tick:17 State:2  *Ticks:5002
    Note:76 EVENT:344 Tick:29 State:2  *Ticks:5002
    Note:60 EVENT:344 Tick:41 State:2  *Ticks:5002
---- PLAY QUEUE: Total Objects:3
    Note:50 EVENT:344 Tick:16 State:2  *Ticks:5003
    Note:76 EVENT:344 Tick:28 State:2  *Ticks:5003
    Note:60 EVENT:344 Tick:40 State:2  *Ticks:5003
---- PLAY QUEUE: Total Objects:3
    Note:50 EVENT:344 Tick:15 State:2  *Ticks:5004
    Note:76 EVENT:344 Tick:27 State:2  *Ticks:5004
    Note:60 EVENT:344 Tick:39 State:2  *Ticks:5004
---- PLAY QUEUE: Total Objects:3
    Note:50 EVENT:344 Tick:14 State:2  *Ticks:5005
    Note:76 EVENT:344 Tick:26 State:2  *Ticks:5005
    Note:60 EVENT:344 Tick:38 State:2  *Ticks:5005
---- PLAY QUEUE: Total Objects:3
    Note:50 EVENT:344 Tick:13 State:2  *Ticks:5006
    Note:76 EVENT:344 Tick:25 State:2  *Ticks:5006
    Note:60 EVENT:344 Tick:37 State:2  *Ticks:5006
---- PLAY QUEUE: Total Objects:3
    Note:50 EVENT:344 Tick:12 State:2  *Ticks:5007
    Note:76 EVENT:344 Tick:24 State:2  *Ticks:5007
    Note:60 EVENT:344 Tick:36 State:2  *Ticks:5007
---- PLAY QUEUE: Total Objects:3
    Note:50 EVENT:344 Tick:11 State:2  *Ticks:5008
    Note:76 EVENT:344 Tick:23 State:2  *Ticks:5008
    Note:60 EVENT:344 Tick:35 State:2  *Ticks:5008
---- PLAY QUEUE: Total Objects:3
    Note:50 EVENT:344 Tick:10 State:2  *Ticks:5009
    Note:76 EVENT:344 Tick:22 State:2  *Ticks:5009
    Note:60 EVENT:344 Tick:34 State:2  *Ticks:5009
---- PLAY QUEUE: Total Objects:3
    Note:50 EVENT:344 Tick:9 State:2  *Ticks:5010
    Note:76 EVENT:344 Tick:21 State:2  *Ticks:5010
    Note:60 EVENT:344 Tick:33 State:2  *Ticks:5010
---- PLAY QUEUE: Total Objects:3
    Note:50 EVENT:344 Tick:8 State:2  *Ticks:5011
    Note:76 EVENT:344 Tick:20 State:2  *Ticks:5011
    Note:60 EVENT:344 Tick:32 State:2  *Ticks:5011
---- PLAY QUEUE: Total Objects:3
    Note:50 EVENT:344 Tick:7 State:2  *Ticks:5012
    Note:76 EVENT:344 Tick:19 State:2  *Ticks:5012
    Note:60 EVENT:344 Tick:31 State:2  *Ticks:5012
---- PLAY QUEUE: Total Objects:3
    Note:50 EVENT:344 Tick:6 State:2  *Ticks:5013
    Note:76 EVENT:344 Tick:18 State:2  *Ticks:5013
    Note:60 EVENT:344 Tick:30 State:2  *Ticks:5013
---- PLAY QUEUE: Total Objects:3
    Note:50 EVENT:344 Tick:5 State:2  *Ticks:5014
    Note:76 EVENT:344 Tick:17 State:2  *Ticks:5014
    Note:60 EVENT:344 Tick:29 State:2  *Ticks:5014
---- PLAY QUEUE: Total Objects:3
    Note:50 EVENT:344 Tick:4 State:2  *Ticks:5015
    Note:76 EVENT:344 Tick:16 State:2  *Ticks:5015
    Note:60 EVENT:344 Tick:28 State:2  *Ticks:5015
---- PLAY QUEUE: Total Objects:3
    Note:50 EVENT:344 Tick:3 State:2  *Ticks:5016
    Note:76 EVENT:344 Tick:15 State:2  *Ticks:5016
    Note:60 EVENT:344 Tick:27 State:2  *Ticks:5016
---- PLAY QUEUE: Total Objects:3
    Note:50 EVENT:344 Tick:2 State:3  *Ticks:5017
    Note:76 EVENT:344 Tick:14 State:2  *Ticks:5017
    Note:60 EVENT:344 Tick:26 State:2  *Ticks:5017
---- PLAY QUEUE: Total Objects:3
    Note:50 EVENT:344 Tick:1 State:3  *Ticks:5018
    Note:76 EVENT:344 Tick:13 State:2  *Ticks:5018
    Note:60 EVENT:344 Tick:25 State:2  *Ticks:5018
---- PLAY QUEUE: Total Objects:3
    Note:50 EVENT:344 Tick:0 State:4  *Ticks:5019
   ---- Note Timed Out: Pitch:50 Ticks:0
    Note:76 EVENT:344 Tick:12 State:2  *Ticks:5019
    Note:60 EVENT:344 Tick:24 State:2  *Ticks:5019
==== PROCESS->Added 1 Objects
---- PLAY QUEUE: Total Objects:3
    Note:76 EVENT:344 Tick:11 State:2  *Ticks:5020
    Note:60 EVENT:344 Tick:23 State:2  *Ticks:5020
    Note:48 EVENT:346 Tick:11 State:2  *Ticks:5020
---- PLAY QUEUE: Total Objects:3
    Note:76 EVENT:344 Tick:10 State:2  *Ticks:5021
    Note:60 EVENT:344 Tick:22 State:2  *Ticks:5021
    Note:48 EVENT:346 Tick:10 State:2  *Ticks:5021
---- PLAY QUEUE: Total Objects:3
    Note:76 EVENT:344 Tick:9 State:2  *Ticks:5022
    Note:60 EVENT:344 Tick:21 State:2  *Ticks:5022
    Note:48 EVENT:346 Tick:9 State:2  *Ticks:5022
---- PLAY QUEUE: Total Objects:3
    Note:76 EVENT:344 Tick:8 State:2  *Ticks:5023
    Note:60 EVENT:344 Tick:20 State:2  *Ticks:5023
    Note:48 EVENT:346 Tick:8 State:2  *Ticks:5023
---- PLAY QUEUE: Total Objects:3
    Note:76 EVENT:344 Tick:7 State:2  *Ticks:5024
    Note:60 EVENT:344 Tick:19 State:2  *Ticks:5024
    Note:48 EVENT:346 Tick:7 State:2  *Ticks:5024
---- PLAY QUEUE: Total Objects:3
    Note:76 EVENT:344 Tick:6 State:2  *Ticks:5025
    Note:60 EVENT:344 Tick:18 State:2  *Ticks:5025
    Note:48 EVENT:346 Tick:6 State:2  *Ticks:5025
---- PLAY QUEUE: Total Objects:3
    Note:76 EVENT:344 Tick:5 State:2  *Ticks:5026
    Note:60 EVENT:344 Tick:17 State:2  *Ticks:5026
    Note:48 EVENT:346 Tick:5 State:2  *Ticks:5026
---- PLAY QUEUE: Total Objects:3
    Note:76 EVENT:344 Tick:4 State:2  *Ticks:5027
    Note:60 EVENT:344 Tick:16 State:2  *Ticks:5027
    Note:48 EVENT:346 Tick:4 State:2  *Ticks:5027
---- PLAY QUEUE: Total Objects:3
    Note:76 EVENT:344 Tick:3 State:2  *Ticks:5028
    Note:60 EVENT:344 Tick:15 State:2  *Ticks:5028
    Note:48 EVENT:346 Tick:3 State:2  *Ticks:5028
---- PLAY QUEUE: Total Objects:3
    Note:76 EVENT:344 Tick:2 State:3  *Ticks:5029
    Note:60 EVENT:344 Tick:14 State:2  *Ticks:5029
    Note:48 EVENT:346 Tick:2 State:3  *Ticks:5029
---- PLAY QUEUE: Total Objects:3
    Note:76 EVENT:344 Tick:1 State:3  *Ticks:5030
    Note:60 EVENT:344 Tick:13 State:2  *Ticks:5030
    Note:48 EVENT:346 Tick:1 State:3  *Ticks:5030
---- PLAY QUEUE: Total Objects:3
    Note:76 EVENT:344 Tick:0 State:4  *Ticks:5031
   ---- Note Timed Out: Pitch:76 Ticks:0
    Note:60 EVENT:344 Tick:12 State:2  *Ticks:5031
    Note:48 EVENT:346 Tick:0 State:4  *Ticks:5031
   ---- Note Timed Out: Pitch:48 Ticks:0
==== PROCESS->Added 1 Objects
---- PLAY QUEUE: Total Objects:2
    Note:60 EVENT:344 Tick:11 State:2  *Ticks:5032
    Note:77 EVENT:347 Tick:11 State:2  *Ticks:5032
---- PLAY QUEUE: Total Objects:2
    Note:60 EVENT:344 Tick:10 State:2  *Ticks:5033
    Note:77 EVENT:347 Tick:10 State:2  *Ticks:5033
---- PLAY QUEUE: Total Objects:2
    Note:60 EVENT:344 Tick:9 State:2  *Ticks:5034
    Note:77 EVENT:347 Tick:9 State:2  *Ticks:5034
---- PLAY QUEUE: Total Objects:2
    Note:60 EVENT:344 Tick:8 State:2  *Ticks:5035
    Note:77 EVENT:347 Tick:8 State:2  *Ticks:5035
---- PLAY QUEUE: Total Objects:2
    Note:60 EVENT:344 Tick:7 State:2  *Ticks:5036
    Note:77 EVENT:347 Tick:7 State:2  *Ticks:5036
---- PLAY QUEUE: Total Objects:2
    Note:60 EVENT:344 Tick:6 State:2  *Ticks:5037
    Note:77 EVENT:347 Tick:6 State:2  *Ticks:5037
---- PLAY QUEUE: Total Objects:2
    Note:60 EVENT:344 Tick:5 State:2  *Ticks:5038
    Note:77 EVENT:347 Tick:5 State:2  *Ticks:5038
---- PLAY QUEUE: Total Objects:2
    Note:60 EVENT:344 Tick:4 State:2  *Ticks:5039
    Note:77 EVENT:347 Tick:4 State:2  *Ticks:5039
---- PLAY QUEUE: Total Objects:2
    Note:60 EVENT:344 Tick:3 State:2  *Ticks:5040
    Note:77 EVENT:347 Tick:3 State:2  *Ticks:5040
---- PLAY QUEUE: Total Objects:2
    Note:60 EVENT:344 Tick:2 State:3  *Ticks:5041
    Note:77 EVENT:347 Tick:2 State:3  *Ticks:5041
---- PLAY QUEUE: Total Objects:2
    Note:60 EVENT:344 Tick:1 State:3  *Ticks:5042
    Note:77 EVENT:347 Tick:1 State:3  *Ticks:5042
---- PLAY QUEUE: Total Objects:2
    Note:60 EVENT:344 Tick:0 State:4  *Ticks:5043
   ---- Note Timed Out: Pitch:60 Ticks:0
    Note:77 EVENT:347 Tick:0 State:4  *Ticks:5043
   ---- Note Timed Out: Pitch:77 Ticks:0
==== PROCESS->Added 2 Objects
---- PLAY QUEUE: Total Objects:2
    Note:74 EVENT:348 Tick:35 State:2  *Ticks:5044
    Note:53 EVENT:348 Tick:47 State:2  *Ticks:5044
---- PLAY QUEUE: Total Objects:2
    Note:74 EVENT:348 Tick:34 State:2  *Ticks:5045
    Note:53 EVENT:348 Tick:46 State:2  *Ticks:5045
---- PLAY QUEUE: Total Objects:2
    Note:74 EVENT:348 Tick:33 State:2  *Ticks:5046
    Note:53 EVENT:348 Tick:45 State:2  *Ticks:5046
---- PLAY QUEUE: Total Objects:2
    Note:74 EVENT:348 Tick:32 State:2  *Ticks:5047
    Note:53 EVENT:348 Tick:44 State:2  *Ticks:5047
---- PLAY QUEUE: Total Objects:2
    Note:74 EVENT:348 Tick:31 State:2  *Ticks:5048
    Note:53 EVENT:348 Tick:43 State:2  *Ticks:5048
---- PLAY QUEUE: Total Objects:2
    Note:74 EVENT:348 Tick:30 State:2  *Ticks:5049
    Note:53 EVENT:348 Tick:42 State:2  *Ticks:5049
---- PLAY QUEUE: Total Objects:2
    Note:74 EVENT:348 Tick:29 State:2  *Ticks:5050
    Note:53 EVENT:348 Tick:41 State:2  *Ticks:5050
---- PLAY QUEUE: Total Objects:2
    Note:74 EVENT:348 Tick:28 State:2  *Ticks:5051
